name,population
Texas,30500280
Pennsylvania,12931957
Illinois,12477595
Ohio,11747774
Michigan,10030722
New Jersey,9255437
Virginia,8709873
Arizona,7453517
Tennessee,7134327
Massachusetts,6974258
Indiana,6852542
Missouri,6186091
Maryland,6154710
Wisconsin,5904977
Minnesota,5722897
South Carolina,5372002
Alabama,5098746
Louisiana,4553384
Kentucky,4518031
Oklahoma,4048375
Los Angeles,3769485
Connecticut,3629055
Utah,3422487
Nevada,3209142
Iowa,3203345
Arkansas,3063152
Kansas,2936378
Mississippi,2930528
Chicago,2608425
Houston,2264876
New Mexico,2110011
Idaho,1973752
Nebraska,1972292
West Virginia,1764786
Phoenix,1651344
Philadelphia,1527886
San Antonio,1479493
Hawaii,1433238
New Hampshire,1402957
Maine,1393442
San Diego,1374076
Dallas,1259404
Montana,1139507
Rhode Island,1090483
Austin,966292
Jacksonville,962970
San Jose,930862
South Dakota,923484
Columbus,907865
Charlotte,885663
Indianapolis,871449
Alaska,732984
Seattle,725487
San Francisco,715717
Denver,699288
Oklahoma City,697763
El Paso,678049
Nashville,658525
Las Vegas,653843
Vermont,647156
Washington,631693
Memphis,621777
Louisville,621764
Detroit,621193
Boston,617459
Wyoming,583279
Albuquerque,558523
Milwaukee,555640
Fresno,549242
Tucson,546019
Sacramento,528306
Mesa,516783
Kansas City,509319
Atlanta,490270
Omaha,479655
Raleigh,472540
Virginia Beach,454289
Long Beach,439153
Miami,435919
Oakland,422994
Minneapolis,418075
Bakersfield,416175
Tulsa,408956
Tampa,393264
Wichita,392878
Arlington,390399
Cleveland,360040
Anaheim,343654
Honolulu,337088
Henderson,328516
Stockton,324888
Lexington,320576
Irvine,314384
Santa Ana,308549
Cincinnati,306592
Newark,301055
St. Paul,299830
Pittsburgh,295793
Lincoln,295222
Plano,291450
Durham,287794
St. Louis,279390
Chula Vista,278734
Reno,278577
Buffalo,274618
Madison,269897
Jersey City,268578
Toledo,265468
Boise,240713
Garland,235293
Richmond,226472
San Bernardino,223044
Huntsville,220854
Tacoma,218849
Baton Rouge,217665
Santa Clarita,217003
Rochester,209934
Fayetteville,209182
Des Moines,208734
Yonkers,206680
Columbus,202957
Salt Lake City,202272
Little Rock,201029
Augusta,199894
Tallahassee,198631
Knoxville,196823
Overland Park,196147
Montgomery,196010
Grand Rapids,195911
Huntington Beach,192605
Birmingham,192557
Providence,188877
Chattanooga,183095
Salem,181620
Cary,180227
Charleston,153040
Kansas City,151208
